"id","income","locations","agePerson1","agePerson2","agePerson3","agePerson4","agePerson5","agePerson6","agePerson7","agePerson8","agePerson9","agePerson10","agePerson11","agePerson12","married","living_arr","inc_bin","disability1","disability2","disability3","disability4","disability5","disability6","disability7","disability8","disability9","disability10","disability11","disability12","prev_ssi","blind1","blind2","blind3","blind4","blind5","blind6","ssdiPIA1","ssdiPIA2","ssdiPIA3","ssdiPIA4","ssdiPIA5","ssdiPIA6","empl_healthcare","ownorrent","assets.cash","assets.car1","income.investment","income.gift","income.child_support","disab.work.exp"
1,78862,"Salt Lake County, UT",23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_with_kids","ge30k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
2,43934,"Salt Lake County, UT",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","ge30k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
3,10666,"Salt Lake County, UT",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","lt15k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
4,7455,"Salt Lake County, UT",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","lt15k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
5,387,"Salt Lake County, UT",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","lt15k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
6,53191,"Salt Lake County, UT",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","ge30k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
7,9103,"Salt Lake County, UT",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","lt15k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
8,33587,"Salt Lake County, UT",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","ge30k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
9,25952,"Salt Lake County, UT",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","15to30k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
10,11599,"Salt Lake County, UT",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no_spouse_no_kids","lt15k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rent",0,0,0,0,0,0
