"id","ruleYear","stateFIPS","stateName","stateAbbrev","countyortownName","famsize","numadults","numkids","agePerson1","agePerson2","agePerson3","agePerson4","agePerson5","agePerson6","agePerson7","agePerson8","agePerson9","agePerson10","agePerson11","agePerson12","empl_healthcare","income","assets.cash","exp.childcare","exp.food","exp.rentormortgage","exp.healthcare","exp.utilities","exp.misc","exp.transportation","netexp.childcare","netexp.food","netexp.rentormortgage","netexp.healthcare","netexp.utilities","value.snap","value.schoolmeals","value.section8","value.liheap","value.medicaid.adult","value.medicaid.child","value.aca","value.employerhealthcare","value.CCDF","value.HeadStart","value.PreK","value.cdctc.fed","value.cdctc.state","value.ctc.fed","value.ctc.state","value.eitc.fed","value.eitc.state","value.eitc","value.ctc","value.cdctc","value.ssdi","value.ssi","value.tanf","value.wic","AfterTaxIncome","NetResources","tax.income.fed","tax.income.state"
1,2024,49,"Utah","UT","Salt Lake County",1,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21685,0,0,3574,12663,4854,2133,2668,4994,0,3574,12663,503,2133,0,0,0,0,0,0,4351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18310,-9277,708,1008
2,2024,49,"Utah","UT","Salt Lake County",1,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19360,0,0,3574,12663,5624,2133,2668,4994,0,3574,12663,503,2133,0,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16503,-11084,476,900
3,2024,49,"Utah","UT","Salt Lake County",1,1,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26662,0,0,3574,12663,6434,2133,2668,4994,0,3574,12663,864,2133,0,0,0,0,0,0,5570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22167,-5781,1215,1240
4,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25866,0,0,3574,12663,6151,2133,2668,4994,0,3574,12663,797,2133,0,0,0,0,0,0,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21557,-6324,1127,1203
5,2024,49,"Utah","UT","Salt Lake County",2,0,2,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20231,0,11016,8311.91,NA,7060,NA,NA,5321,11016,7879.43,NA,1306,NA,0,0,0,0,0,5754,0,0,0,0,0,0,0,1600,760,6960,760,7720,2360,0,0,0,0,432.48,17923,NA,0,760
6,2024,49,"Utah","UT","Salt Lake County",1,1,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,28166,0,0,3574,12663,5346,2133,2668,4994,0,3574,12663,1001,2133,0,0,0,0,0,0,4345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23305,-4780,1396,1310
7,2024,49,"Utah","UT","Salt Lake County",1,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22875,0,0,3574,12663,3953,2133,2668,4994,0,3574,12663,575,2133,0,0,0,0,0,0,3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19233,-8426,828,1064
8,2024,49,"Utah","UT","Salt Lake County",1,0,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17861,0,0,4901.43,NA,3530,NA,NA,3816,0,4901.43,NA,803,NA,0,0,0,0,0,2727,0,0,0,0,0,0,0,0,0,4213,740,4953,0,0,0,0,0,0,15755,NA,0,740
9,2024,49,"Utah","UT","Salt Lake County",1,1,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17050,0,0,3574,12663,5624,2133,2668,4994,0,1042,12663,503,2133,2532,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15184,-9871,245,317
10,2024,49,"Utah","UT","Salt Lake County",1,1,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18160,0,0,3574,12663,5624,2133,2668,4994,0,1308,12663,503,2133,2266,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15571,-9750,356,844
11,2024,49,"Utah","UT","Salt Lake County",2,1,1,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22770,0,11016,6984.48,14360,9154,3328,4809,6498,11016,132,14360,1306,3328,6420,0,0,0,5121,2727,0,0,0,0,0,87,0,1687,969,4205,841,5046,2656,87,0,0,0,432.48,19972,-14740,87,969
12,2024,49,"Utah","UT","Salt Lake County",1,1,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19271,0,0,3574,12663,5624,2133,2668,4994,0,3574,12663,503,2133,0,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16434,-11153,467,896
13,2024,49,"Utah","UT","Salt Lake County",1,1,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19016,0,0,3574,12663,5624,2133,2668,4994,0,3574,12663,503,2133,0,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16235,-11352,442,884
14,2024,49,"Utah","UT","Salt Lake County",1,1,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16360,0,0,3574,12663,5624,2133,2668,4994,0,876,12663,503,2133,2698,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14932,-9957,176,0
15,2024,49,"Utah","UT","Salt Lake County",1,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26720,0,0,3574,12663,4854,2133,2668,4994,0,3574,12663,869,2133,0,0,0,0,0,0,3985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22212,-5741,1222,1242
16,2024,49,"Utah","UT","Salt Lake County",1,1,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21015,0,0,3574,12663,4854,2133,2668,4994,0,3574,12663,503,2133,0,0,0,0,0,0,4351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17788,-9799,642,977
17,2024,49,"Utah","UT","Salt Lake County",1,1,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24944,0,0,3574,12663,5346,2133,2668,4994,0,3574,12663,723,2133,0,0,0,0,0,0,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20842,-6965,1034,1160
18,2024,49,"Utah","UT","Salt Lake County",1,1,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18199,0,0,3574,12663,5624,2133,2668,4994,0,1318,12663,503,2133,2256,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15601,-9730,360,846
