"value.ctc.state","value.ctc.fed","value.eitc.state","value.eitc.fed","tax.income.state","tax.income.fed","ruleYear","stateFIPS","stateName","stateAbbrev","countyortownName","famsize","numadults","numkids","agePerson1","agePerson2","agePerson3","agePerson4","agePerson5","agePerson6","agePerson7","agePerson8","agePerson9","agePerson10","agePerson11","agePerson12","empl_healthcare","income","assets.cash","exp.childcare","exp.food","exp.rentormortgage","exp.healthcare","exp.utilities","exp.misc","exp.transportation","netexp.childcare","netexp.food","netexp.rentormortgage","netexp.healthcare","netexp.utilities","value.snap","value.schoolmeals","value.section8","value.liheap","value.medicaid.adult","value.medicaid.child","value.aca","value.employerhealthcare","value.CCDF","value.HeadStart","value.PreK","value.cdctc.fed","value.cdctc.state","value.eitc","value.ctc","value.cdctc","value.ssdi","value.ssi","value.tanf","value.wic","AfterTaxIncome","NetResources"
0,0,0,0,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24095
0,0,0,76,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,924,-23095
0,0,0,153,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,1847,-22095
0,0,0,229,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,2770,-21096
0,0,0,306,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,3694,-20095
0,0,0,382,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,4618,-19095
0,0,0,459,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,5541,-18095
0,0,0,536,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,6464,-17095
0,0,0,612,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,7388,-16095
0,0,0,632,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,8312,-15151
0,0,0,632,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,9235,-14228
0,0,0,581,0,0,2024,49,"Utah","UT","Salt Lake County",1,1,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11000,0,0,3574,12663,5624,2133,2668,4994,0,82,12663,503,2133,3492,0,0,0,5121,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,10158,-13356
